label,prediction,history,action,target,explanation
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"The hot sun beats down on you as you approach the Great Sphinx of Giza, its massive stone form towering over the desert sands. Its body, a blend of lion and human, is weathered yet majestic, carved from the very bedrock of the earth. Intricate hieroglyphics adorn its surface, telling tales of ancient gods and long-lost pharaohs. Its eyes, ancient and wise, seem to pierce through your soul, holding secrets that have endured for millennia.
As you draw closer, a shiver runs down your spine, both awe and trepidation washing over you. The sheer size of the Sphinx is overwhelming; it looms like a guardian of time itself, and you feel the weight of history pressing against your chest. As you step forward, the ground trembles beneath your feet, and a deep, echoing voice fills the air, resonating with a power that seems to vibrate in your bones.
Sphinx: ""Traveler, you stand before the guardian of Egypt's mysteries. To pass me, you must prove your worth by solving four riddles. Fail, and your journey will end here, among the sands.""
You can almost hear the whispers of the desert winds, cautioning you against the challenge ahead. The Sphinx’s paws shift slightly, revealing a hidden path beneath its body, like an invitation and a warning intertwined. The stakes are high, and a sense of urgency pulses through you; this is a moment that could define your journey.
Sphinx: ""Are you ready to face my challenges?""
As you stand before this mighty beast, a mix of fear and exhilaration courses through you. You know that your answers will determine your fate. There’s no turning back now; the adventure awaits, and with it, the promise of wisdom or the peril of defeat.
","Sphinx: ""Here is your first riddle:
I have no legs, but I carry kings.
I take them to their eternal resting place.
What am I?""
What is your answer?
","The Sphinx nods, its great stone face softening ever so slightly.
Sphinx: ""Correct. The Feather of Ma'at, which weighs the truth of the soul.""
The Sphinx’s massive tail sways in the sand, kicking up dust.
Sphinx: ""You show promise, traveler. One final challenge remains.""
Sphinx: ""Final riddle:
I have many faces but show only one.
I keep track of the sun and the stars.
What am I?""
What is your answer?
","The input is understandable and valid in the story world, but it is chronologically far before the target knot and omits key user actions—most importantly the player's answer to the riddle and subsequent progress through earlier challenges. Multiple paths are possible depending on the answer and outcomes."
NEEDS_INPUT,DIRECT_CONTINUE,"Welcome to splorg mania! This is just a little game where you live the life of a merchant, who's a splorg breeder. Will you get rich or have to get eaten by a grue, get canceled, and more? What will you choose? :P
I get up from my sleeping mat. I look at all the hay that's left all over my hut. I'll clean it after work. I start to pack my stuff and go to my stand. It takes only 5 minutes by foot to get there. As I enter my stall, I sigh. "" Just another day of this dusty old stall.
 The customers start flowing in. In the crowd, a person catches my eye. A woman with upturned eyes, plump lips, and freckles skips in. She finger combs her brown hair, with a tinge of grey at the roots. ""Hello today! You sell Splorgs, right? Can I have one?"" She motions to one of the splorgs.
","I accept and grab one and put it down on the counter. ""Yay, thank you! I shall reward you with one of my sheep!""
","They quickly hand me a fistful of grain and sprint away. ""Thank you!"" They yell as they run off. I take a look at my hand of grain.The sheep lets out a loud, hungry, bleep as It eyes the grain. No way am I giving all of this to them.I look back at my grain, counting how many there are.They are absolute FOOLS. THEY GAVE ME MORE GRAIN THAN THE SPLORGS COST! I'M RICH! AHAHAHHAHAHHAHHAH- I quickly hide my evil villain monologue as the next person enters. A slender woman with long, brown hair that matches her silver jewelry struts in. Her golden sun-kissed skin works with her pearly white dress to add a feel of well-maintained authenticity. She gently places her arms on the booth. ""Hello. The name's Ariana Grande. I have heard of your business from my coworkers."" She stops to brush down her dress. ""I think I do need a little companion. May I have one?""
","The user clearly completes the first customer transaction by handing over a splorg, and the quoted response from the customer naturally leads straight into the target knot where payment is given and the narrator reacts before the next customer arrives."
DIRECT_CONTINUE,NEEDS_INPUT,"""Welcome, Abasi farmer, father, and stealer!"" a strange voice booms. ""I am Anubis. I will guide you to us. If you are worthy, you will pass these three tests and be granted into the Field of Reeds and a life in paradise, but if you fail, you will spend your afterlife in doom!"" You frantically open your eyes and stand up. You see three gems with animals on them, and then you see words that read...What meat did Egyptians consume?
","""You may continue...""
Which illness in ancient Egypt was most common?
","All the sudden the ground starts shaking and opens you fall through. You wake up finding yourself where you started.
""Welcome, Abasi farmer, father, and stealer!"" a strange voice booms. ""I am Anubis. I will guide you to us. If you are worthy, you will pass these three tests and be granted into the Field of Reeds and a life in paradise, but if you fail, you will spend your afterlife in doom!"" You frantically open your eyes and stand up. You see three gems with animals on them, and then you see words that read...What meat did Egyptians consume?
","The input is understandable but ambiguous. 'You may continue...' suggests continuation, but the added illness question conflicts with the target knot's existing question about Egyptian meat consumption. It is unclear whether the user wants to replace the current question, answer it, or move to a new branch."
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"You have been sent to a secret workshop once belonging to Leonardo da Vinci himself, hidden deep in the hills of Florence. The workshop was believed to hold lost designs and inventions of great value. However, rival factions and secret guardians lurk in the shadows, protecting the secrets. Your mission: Retrieve the precious sketches and escape.
","After a long trek, you find a large stone workshop shaped like an Earth-sheltered vault. Your codex warns this is not where the prized sketches lie. Suddenly, you spot a figure in the shadows.
","Half the code is visible. You fear making a mistake.
","The input is understandable and valid, but it is underspecified. The user has not indicated what they do about the figure, whether they enter the workshop, investigate, hide, confront, or search elsewhere. Several possible continuations could follow, so clarification is needed before reaching the target knot."
DIRECT_CONTINUE,NEEDS_INPUT,"You are a poor egyptian peasant who works as a personal cook for the pharoah. Today it's a beautiful day in ancient Egypt and you have the choice to stay home with your cat the only thing you love most or go to work.
","you arive at work and you make him breakfast. What do you make him? Honey and bread or meat and rice?
","the pharoah loves it so much he sends you home early but when you get home your cat is deathly sick. Do you steal some medicine for the pharoah or ask for the medicine.
","The input is understandable and story-valid, but it is underspecified because the user presents two possible breakfast choices and has not selected one. The next events depend on that decision."
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"The hot sun beats down on you as you approach the Great Sphinx of Giza, its massive stone form towering over the desert sands. Its body, a blend of lion and human, is weathered yet majestic, carved from the very bedrock of the earth. Intricate hieroglyphics adorn its surface, telling tales of ancient gods and long-lost pharaohs. Its eyes, ancient and wise, seem to pierce through your soul, holding secrets that have endured for millennia.
As you draw closer, a shiver runs down your spine, both awe and trepidation washing over you. The sheer size of the Sphinx is overwhelming; it looms like a guardian of time itself, and you feel the weight of history pressing against your chest. As you step forward, the ground trembles beneath your feet, and a deep, echoing voice fills the air, resonating with a power that seems to vibrate in your bones.
Sphinx: ""Traveler, you stand before the guardian of Egypt's mysteries. To pass me, you must prove your worth by solving three riddles. Fail, and your journey will end here, among the sands.""
You can almost hear the whispers of the desert winds, cautioning you against the challenge ahead. The Sphinx’s paws shift slightly, revealing a hidden path beneath its body, like an invitation and a warning intertwined. The stakes are high, and a sense of urgency pulses through you; this is a moment that could define your journey.
Sphinx: ""Are you ready to face my challenges?""
As you stand before this mighty beast, a mix of fear and exhilaration courses through you. You know that your answers will determine your fate. There’s no turning back now; the adventure awaits, and with it, the promise of wisdom or the peril of defeat.
 Sphinx: ""Here is your first riddle:
I have no legs, but I carry kings.
I take them to their eternal resting place.
What am I?""
What is your answer?
","The Sphinx’s eyes glow with approval.
Sphinx: ""Correct. The Nile, the eternal river that carries Egypt’s kings in life and death.""
The air around you seems to cool slightly as the Sphinx continues.
Sphinx: ""Well done. But the next question is not so simple.""
Sphinx: ""Second riddle:
In the afterlife's hall, I am light as air,
Placed beside the heart with utmost care.
To pass the test, one must be pure,
Or face a fate they cannot endure.
What am I?""
What is your answer?
","The Sphinx lets out a booming laugh, echoing across the sands.
Sphinx: ""Correct! The Pyramid, a monument that stands eternal, watching over the heavens and the earth.""
The Sphinx slowly rises, revealing the hidden path fully.
Sphinx: ""You have answered wisely, traveler. You may now pass.""
The Sphinx's body shimmers, and before your eyes, it transforms into a mighty falcon, the form of the god Horus.
Horus: ""You have passed the test of the Sphinx, proving yourself wise and brave. As a reward, I grant you safe passage and a gift from the gods themselves.""
A golden ankh appears in your hand, glowing with a soft, warm light.
Horus: ""This symbol of life will guide and protect you on your journey. Go forth, and may the gods watch over you.""
With a final powerful beat of his wings, Horus flies off into the sky, leaving you with a sense of awe and purpose.
You have successfully solved the Sphinx's riddles and received a divine blessing!
","The input is clear and valid in the story world, but it ends by asking for an answer to the second riddle. Multiple continuations are possible depending on what the user answers next, so the path to the target is underspecified."
BRIDGE_AND_CONTINUE,INVALID_USER_INPUT,"You are 12yr old kid in ancient egypt. Choose your gender:
 Your name is hassan and you have a very difficult and hard life ahead of you.",,"You train at the temple for the next 10 years and earn enough money to employ someone to take care of your mother while you are at work. As a scribe's son, becuase your dad seavred the king,you inherit the position of scribe and rise to a higher-ranking position over the years. After becoming the Order of the Quill ( the person that handles archival, history, and civilian technology.) and your mom stable you get promoted to high scribe able to searve the king like you father once did.Suddenly your mom has an outbreak of a diese and wants you by her side at all times. Do you:
","The user input is blank, which counts as invalid under the provided rules."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"You have been sent to a planet that used to be a base for astronauts, though they did not know who lived there. Aliens killed every single one of them and tore them apart. A astronaut who was killed had something very valuble. Now you have to go retrieve it.
 After 45 minutes of walking, you come across an building shaped like an Earth Sheltered Base. It seems to be a research building. Your radar however tells you that this isn't where the valuable ""something"" is at.
Suddenly you see a figure in the corner of your eye.
 A Space HobGoblin appears in the distance with its back turned against you. It doesn't seem to notice you. It quickly begins running. You are confused...
 It wasn't long until your wonderings stop short when an Apex Alien begins to pursue the Goblin at high speeds. It pounces on the helpless Goblin and impales it with its two arms. The HobGoblin roars as its lifted from the ground by the Apex's arms. To your horror, it swiftly splits the HobGoblin into two clean halves.
","You panic and withdraw your taser. A dash to the entrance of the Earth Shelter is made.
","You place your taser on the keypad's screen and press fire. The door suddenly jolts open with the huge amounts of volts discharged by the taser.
","The user's intent is clear: flee the nearby threat and use the shelter entrance. A short, logical transition can connect arriving at the entrance with preparing to use the taser on the access panel before the target knot begins."
DIRECT_CONTINUE,NEEDS_INPUT,"You are about to challenge a man to a dule.
 This was the man that killed your brother. That man... He killed your family but not you...Why?
 You are currently thirteen and you are trying to kill the man that has murdered your last living family member. He has harrased the royal families of Egypt and all whom sides with them. Your name is @*%$^$^. Your destiny is to kill him... You are Egyptian. You are likely to die. You are the desentant of Nefrititi and your jouney will be perlious and daring. You are in Egypt. All of Egypt is counting on you.
","You find a map in your pocket...
","You find that you are next to the Nile river a crucial part of the Egyptian life. The Nile provides fish, trade for Egyptians, and the only water source in Egypt.
","The input is understandable and story-valid, but underspecified. Finding a map introduces an object, not a clear action that leads uniquely to the target knot. Multiple continuations are possible."
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"in your fridge there is only a really smelly carton of milk.
","you put think interesting drink on the market, and a 85 year old man offers to buy it for 500 bucks!
","you send the milk over and get paid..., a nice choice but still your rent is up and you owe 500 bucks. oop your broke you die!
","The input is understandable but awkwardly phrased and stops at an offer to buy. It is unclear whether the user wants to accept the offer, negotiate, refuse, or do something else next. Reaching the target would require guessing the user's choice."
